GFA08,CEA629FF,Classic Gold Sparkle,13402
GFA09,FF7F41FF,Orange,12300
GFA09,0085ADFF,Light Blue,12600
GFA09,6667ABFF,Lavender Blue,12700
GFA09,515A6CFF,Gray,12102
GFA09,898D8DFF,Silver,12103
GFA09,00482BFF,Pine Green,12500
GFA09,25282AFF,Black,12101
GFA09,DD3C22FF,Vermilion Red,12200
GFA09,F9F7F4FF,White,12100
GFA09,FEDB00FF,Yellow,12400
GFA11,CDCECAFF,Gray,14104
GFA11,000000FF,Black,14103
GFA11,FFFFFFFF,White,14102
GFA12,FF9D5BFF,Glow Orange,15300
GFA12,7AC0E9FF,Glow Blue,15600
GFA12,A1FFACFF,Glow Green,15500
GFA12,F17B8FFF,Glow Pink,15200
GFA12,F8FF80FF,Glow Yellow,15400
GFA13,FFFFFFFF,UV Color Changing - White to Coral,15100
GFA15,594177FF,Purple,13602
GFA15,3B665EFF,Green,13503
GFA15,424379FF,Nebulae,13504
GFA15,684A43FF,Brown,13203
GFA16,918669FF,Classic Birch,13505
GFA16,4F3F24FF,Black Walnut,13107
GFA16,995F11FF,Clay Brown,13801
GFA16,4C241CFF,Rosewood,13204
GFA16,D6CCA3FF,White Oak,13106
GFA16,C98935FF,Ochre Yellow,13403
GFA50,2842ADFF,Royal Blue,14601
GFA50,6e88bcFF,Jeans Blue,14600
GFA50,4d5054FF,Lava Gray,14101
GFA50,5c9748FF,Matcha Green,14500
GFA50,000000FF,Black,14100
GFA50,69398EFF,Iris Purple,14700
GFA50,951e23FF,Burgundy Red,14200
GFB00,FF6A13FF,Orange,40300
GFB00,0A2CA5FF,Blue,40600
GFB00,489FDFFF,Azure,40601
GFB00,0C2340FF,Navy Blue,40602
GFB00,7AE1BFFF,Mint,40501
GFB00,87909AFF,Silver,40102
GFB00,00AE42FF,Bambu Green,40500
GFB00,789D4AFF,Olive,40502
GFB00,000000FF,Black,40101
GFB00,7248BDFF,Lavender,40701
GFB00,AF1685FF,Purple,40700
GFB00,D32941FF,Red,40200
GFB00,FFFFFFFF,White,40100
GFB00,FCE900FF,Yellow,40400
GFB00,FFC72CFF,Tangerine Yellow,40402
GFB00,DFD1A7FF,Beige,40401
GFB01,2140B4FF,Blue,45600
GFB01,8A949EFF,Gray,45102
GFB01,00A6A0FF,Green,45500
GFB01,000000FF,Black,45101
GFB01,E02928FF,Red,45200
GFB01,FFFAF2FF,White,45100
GFB02,F5F1DDFF,White,46100
GFB50,F48438FF,Orange,41300
GFB50,0C3B95FF,Blue,41600
GFB50,C6C6C6FF,Gray,41102
GFB50,61BF36FF,Green,41500
GFB50,000000FF,Black,41101
GFB50,E83100FF,Red,41200
GFB50,FFFFFFFF,White,41100
GFB50,FFE133FF,Yellow,41400
GFB51,000000FF,Black,46101
GFC00,00000080,Clear Black,60102
GFC00,FFFFFF00,Transparent,60103
GFC00,686865FF,Black,60101
GFC00,FFFFFFFF,White,60100
GFC01,A8A8AAFF,Gray,63102
GFC01,000000FF,Black,63100
GFC01,FFFFFFFF,White,63101
GFG00,FF671FFF,Orange,30300
GFG00,0069B1FF,Lake Blue,30602
GFG00,688197FF,Blue Gray,30601
GFG00,9E007EFF,Purple,30700
GFG00,001489FF,Blue,30600
GFG00,FFFFFF00,Transparent,30103
GFG00,9EA2A2FF,Gray,30102
GFG00,009639FF,Green,30500
GFG00,7CD82BFF,Lime Green,30501
GFG00,000000FF,Black,30101
GFG00,D6001CFF,Red,30200
GFG00,FFFFFFFF,White,30100
GFG00,F9F7F2FF,Nature,30104
GFG00,FCE300FF,Yellow,30400
GFG00,B28B33FF,Gold,30401
GFG01,FF911A80,Translucent Orange,32300
GFG01,61B0FF80,Translucent Light Blue,32600
GFG01,FFFFFF00,Clear,32101
GFG01,8E8E8E80,Translucent Gray,32100
GFG01,748C4580,Translucent Olive,32500
GFG01,77EDD780,Translucent Teal,32501
GFG01,C9A38180,Translucent Brown,32800
GFG01,D6ABFF80,Translucent Purple,32700
GFG01,F9C1BD80,Translucent Pink,32200
GFG02,F75403FF,Orange,33300
GFG02,002E96FF,Blue,33600
GFG02,1F79E5FF,Lake Blue,33601
GFG02,ADB1B2FF,Gray,33101
GFG02,515151FF,Dark Gray,33103
GFG02,00AE42FF,Green,33500
GFG02,6EE53CFF,Lime Green,33501
GFG02,39541AFF,Forest Green,33502
GFG02,000000FF,Black,33102
GFG02,875718FF,Peanut Brown,33801
GFG02,BC0900FF,Red,33200
GFG02,FFFFFFFF,White,33100
GFG02,FFD00BFF,Yellow,33400
GFG02,F9DFB9FF,Cream,33401
GFG50,324585FF,Indigo Blue,31600
GFG50,565656FF,Titan Gray,31101
GFG50,16b08eFF,Malachite Green,31500
GFG50,000000FF,Black,31100
GFG50,583061FF,Violet Purple,31700
GFG50,9f332aFF,Brick Red,31200
GFN04,000000FF,Black,70100
GFN05,000000FF,Black,72100
GFN06,000000FF,Black,73100
GFN08,75AED8FF,Blue,72600
GFN08,EAEAE4FF,White,72102
GFN08,353533FF,Gray,72103
GFN08,C5ED48FF,Lime,72500
GFN08,000000FF,Black,72104
GFN08,5B492FFF,Brown,72800
GFN08,FF4800FF,Orange,72200
GFN08,FFCE00FF,Yellow,72400
GFS02,000000FF,Black,65101
GFS02,FFFFFFFF,White,65100
GFS03,C0DF16FF,Green,65500
GFS04,F0F1A880,Clear,66400
GFS05,00000000,Nature,65102
GFS05,000000FF,Black,65103
GFS06,FFFFFFFF,White,66100
GFT01,000000FF,Black,71100
GFT02,000000FF,Black,76100
GFU00,0072CEFF,Blue,51600
GFU00,898D8DFF,Gray,51101
GFU00,101820FF,Black,51100
GFU00,C8102EFF,Red,51200
GFU00,FFFFFFFF,White,51102
GFU00,F3E600FF,Yellow,51400
GFU01,000000FF,Black,50101
GFU01,FFFFFFFF,White,50100
GFU02,5898DDFF,Blue,53600
GFU02,939393FF,Gray,53102
GFU02,90FF1AFF,Neon Green,53500
GFU02,000000FF,Black,53101
GFU02,ED0000FF,Red,53200
GFU02,FFFFFFFF,White,53100
GFU02,F9EF41FF,Yellow,53400
GFA18,000000FF,Black,16100
GFA18,EFE255FF,Yellow,16400
GFA18,FFFFFFFF,White,16103
GFA18,4DAFDAFF,Cyan,16600
GFA18,C6001AFF,Red,16200
GFA18,999D9DFF,Gray,16101
GFA17,B5001180,Red,13210
GFA17,F5B6CD80,Cherry Pink,13211
GFA17,F74E0280,Orange,13301
GFA17,F5DBAB80,Mellow Yellow,13410
GFA17,96D8AF80,Light Jade,13510
GFA17,B8CDE980,Ice Blue,13610
GFA17,0047BB80,Blue,13611
GFA17,009FA180,Teal,13612
GFA17,8344B080,Purple,13710
GFA17,B8ACD680,Lavender,13711
GFA05,00918BFF/F772A4FF,South Beach,13906
GFA05,7F3696FF/006EC9FF,Aurora Purple,13909
